Cultural,National Park,"Leoforos Amalias 1, 02321 Athens, Greece",www.cityofathens.gr,9am-5pm,English,,,,
Sports,Diadromes,"Mezonos 45, Athina 104 38, Greece",http://www.diadromes.org,,English,,"37.9877227,23.722333299999946 ",Tai-chi,
Sports,Anasa Cultural Center,"Sfaktirias ke Plateon, Athina 104 35, Greece",http://www.anasa.org.gr,,Greek,,"37.9817664,23.715977100000032",Acting and dancing classes,
Educational,Victoria Square Project,"Elpidos 13, Athina 104 34, Greece",http://victoriasquareproject.gr,,English,,"37.994201,23.729785300000003","Acting lessons, dance lessons and knitting lessons.",
